index,ant_a,ant_b,vis
274,0,3,0.21443960174061316+0.41184906883741795i
275,0,3,0.2050124199446033+0.4072831571310665i
276,0,3,0.231435815768216+0.313646113212951i
277,0,3,0.3309749524956076+0.4203980984675235i
278,0,3,0.24475474478816547+0.5807589751160114i
279,0,3,0.19012149786965155+0.3016588684748803i
280,0,3,-0.06539827816962143+0.4055928653860066i
281,0,3,0.14168134822027967+0.5610421766192751i
282,0,3,0.3137258378126514+0.41539362220731685i
283,0,3,0.18406133278633313+0.283692913131467i
284,0,3,0.07415823132263524+0.3872902803498367i
285,0,3,0.16307844007022382+0.3742376435802758i
286,0,3,0.2977838748102155+0.5665688394676782i
287,0,3,0.24777286250294112+0.38741144842294106i
288,0,3,0.35986027433681245+0.5616931013142871i
289,0,3,0.16122360035869368+0.49186921344415296i
290,0,3,0.2289563293614317+0.3987691252163186i
291,0,3,0.10815288825793003+0.3797746083589741i
292,0,3,0.18912054479765728+0.5285393871636084i
293,0,3,0.2493201038152521+0.45513571474879533i
294,0,3,0.2924252863544856+0.4422190221090938i
295,0,3,0.15067199380299257+0.5721813758582296i
296,0,3,0.3256704775068854+0.4175175603768647i
297,0,3,0.15701086859395852+0.3038395242108949i
298,0,3,0.10946353834277972+0.4325169774041117i
299,0,3,0.18727637283793325+0.40815641240908795i
300,0,4,-0.49600967807215013-0.37336917162034927i
301,0,4,-0.49725948892120925-0.39547449072446805i
302,0,4,-0.5087032625841117-0.396568997239627i
303,0,4,-0.5603713720738182-0.22990880635871555i
304,0,4,-0.46469425038824586-0.3819487183167951i
305,0,4,-0.4424490927928635-0.20467750113903135i
306,0,4,-0.3633513220467933-0.4491447685533922i
307,0,4,-0.4175262252406489-0.2309958308718099i
308,0,4,-0.3547577507177273-0.406458311613879i
309,0,4,-0.2814715403389619-0.2130206475205396i
310,0,4,-0.5472350598280814-0.2452505322714812i
311,0,4,-0.5950313555967981-0.27363724948117907i
312,0,4,-0.31667345436968686-0.23207842855268204i
313,0,4,-0.4093615190321075-0.36503909234795706i
314,0,4,-0.2733322113130908-0.28434214449162865i
315,0,4,-0.6012374208441464-0.2117246243852157i
316,0,4,-0.36126440496847223-0.250457506011127i
317,0,4,-0.41537271501388173-0.16949425381882052i
318,0,4,-0.5236112406171026-0.14614829478137725i
319,0,4,-0.3934665212779486-0.23489844097673035i
320,0,4,-0.6118424789641271-0.0866599186839597i
321,0,4,-0.526512084513279-0.2909885269341038i
322,0,4,-0.5418408390591127-0.1315600737293554i
323,0,4,-0.28854832715711926-0.265385407128493i
324,0,4,-0.5066304167182096-0.2155191539506626i
325,0,4,-0.4661259521589169-0.29562662858233657i
326,0,4,-0.34649788088711464-0.3283950586305264i
327,0,4,-0.6604945268117894-0.13726833491573398i
328,0,4,-0.3999726657694732-0.1413609453059956i
329,0,4,-0.6142157260733985-0.2710126621066832i
330,0,4,-0.5504997934767315-0.2378548597845658i
331,0,4,-0.38220283239870934-0.4491517440233522i
332,0,4,-0.49177104090809676-0.1955456064216135i
333,0,4,-0.3237523768427275-0.06211952033535803i
334,0,4,-0.390685491493205-0.2438879163982228i
335,0,4,-0.34903701911294044-0.22819315623245884i
336,0,4,-0.4383385679829508-0.3177619185601894i
337,0,4,-0.43135185848507657-0.22146151111397405i
338,0,4,-0.44349241769264564-0.29920983535971635i
339,0,4,-0.39735279337147433-0.3424215546815752i
340,0,4,-0.37861442905490783-0.27666727356840476i
341,0,4,-0.27718212515683494-0.26486577529120736i
342,0,4,-0.4358347891621438-0.22778280080137087i
343,0,4,-0.49688797145789876-0.20613132404380108i
344,0,4,-0.3098223521617118-0.2154578127415723i
345,0,4,-0.3852294880059516-0.2456628180113994i
346,0,4,-0.28828611756628253-0.4815026319855852i
347,0,4,-0.2832775602925812-0.2504566803998744i
348,0,4,-0.45485896664876313-0.3146234789873507i
349,0,4,-0.4636332931957744-0.3174790806480975i
350,0,4,-0.531212658387156+0.0065586991129441i
351,0,4,-0.4462064792550185-0.2666261197746945i
352,0,4,-0.4642212944109726-0.1837155377954153i
353,0,4,-0.5884044392705059-0.22749539008816122i
354,0,4,-0.5666903022109228-0.2455351781324475i
355,0,4,-0.4952756297730514-0.3826106364732565i
356,0,4,-0.49872499171601803-0.4932579105624626i
357,0,4,-0.36385671314092266-0.12108330357858121i
358,0,4,-0.43808720823801317-0.35476021108785i
359,0,4,-0.4678128111130929-0.30455007390943767i
360,0,4,-0.5612858926717261-0.21898405654981556i
361,0,4,-0.3158806380404182-0.2927351971713622i
362,0,4,-0.21665664369130772-0.3811410459231525i
363,0,4,-0.4382890469120279-0.2760381179351548i
364,0,4,-0.5048481542650756-0.28428037917977866i
365,0,4,-0.4012108930742501-0.22267373262660736i
366,0,4,-0.5113464439029285-0.23030514273170816i
367,0,4,-0.5977416915978068-0.14956882912670522i
368,0,4,-0.23881557514993162-0.3841932353732979i
369,0,4,-0.3748476614978605-0.29476711155767266i
370,0,4,-0.40457669973328636-0.2013479493064752i
371,0,4,-0.41611886935841397-0.44779556885787164i
372,0,4,-0.17356490811224484-0.33948576357678273i
373,0,4,-0.46185276505920037-0.47044248968300406i
374,0,4,-0.41222106823497845-0.26253438801468915i
375,0,4,-0.3739892462719514-0.2020341478214286i
376,0,4,-0.4817900075506697-0.23568577129718318i
377,0,4,-0.39047387546895157-0.21479366579087553i
378,0,4,-0.27700715866068193-0.20510738710195633i
379,0,4,-0.2462822259731337-0.3726221908633814i
380,0,4,-0.35012967365176734-0.3236169090227554i
381,0,4,-0.31208693510181856+0.017235985285460165i
382,0,4,-0.2898729083591653-0.12173535228338442i
383,0,4,-0.4174807573207224-0.328948490861911i
384,0,4,-0.4739815901366457-0.3879963168202263i
385,0,4,-0.36135265265494115-0.10756384163187954i
386,0,4,-0.5351820611616451-0.2531755413682653i
387,0,4,-0.48292641185697965+0.014786988573589732i
388,0,4,-0.5460319402915998-0.24061741249719443i
389,0,4,-0.5618394350463352-0.4072312474872919i
390,0,4,-0.5906534566353225-0.23652707561272113i
391,0,4,-0.24632405065615898-0.14054218658704792i
392,0,4,-0.4843926055702328-0.13192354222925787i
393,0,4,-0.27792880428270683-0.36269490298342244i
394,0,4,-0.3750592052344036-0.2847096875361525i
395,0,4,-0.5725863813076293-0.14350997486680972i
396,0,4,-0.22529580041516228-0.26990392951558506i
397,0,4,-0.47080954980836764-0.15504145000126685i
398,0,4,-0.4210043602030397-0.22889464330109804i
399,0,4,-0.38057017017504347-0.2909144115697525i
400,0,5,-0.2579537359760755-0.002025853481305767i
401,0,5,-0.3594870362585752+0.00566637074259084i
402,0,5,-0.5222324934692323-0.07634818737118844i
403,0,5,-0.3319852938938427-0.015180661042066286i
404,0,5,-0.5225857266132327+0.061154663372417394i
405,0,5,-0.39018644810493724-0.0540680911157769i
406,0,5,-0.3206513054063037-0.11321612224018004i
407,0,5,-0.48236429488993876+0.028720178478404492i
408,0,5,-0.40713860117920486+0.10743334308435112i
409,0,5,-0.40126696889125835+0.03946142790074132i
410,0,5,-0.3560204409009651+0.00024376409911153543i
411,0,5,-0.3599425672694431+0.28343191041028587i
412,0,5,-0.3900043407103291-0.07650398547410298i
413,0,5,-0.24420103354987963+0.09895747310533136i
414,0,5,-0.46922703264222987+0.04881381217268432i
415,0,5,-0.3472016901966666+0.09604916375057526i
416,0,5,-0.5218590049266932-0.02825495829249408i
417,0,5,-0.42477079429336206-0.01012081565306297i
418,0,5,-0.24339630028545492-0.0325653314877027i
419,0,5,-0.4198001231884797-0.015786193544586914i
420,0,5,-0.41607355725196704+0.35678261164931163i
421,0,5,-0.5339610612902843+0.11294326478309775i
422,0,5,-0.32307917026709426-0.08458547267104599i
423,0,5,-0.3311126640079399-0.12956667279568565i
424,0,5,-0.41063477536531195+0.06762192759995506i
425,0,5,-0.34744985591169975+0.22238081421120756i
426,0,5,-0.3107197310507743-0.1566499766308641i
427,0,5,-0.39288328893569807-0.06667396096629606i
428,0,5,-0.397288446713881+0.03926959219310499i
429,0,5,-0.4184891249675541-0.054305127872358416i
430,0,5,-0.5279335547602241+0.10766890062346167i
431,0,5,-0.33277789540589753+0.00140311094659408i
432,0,5,-0.3306172730614801+0.16640238999179216i
433,0,5,-0.46753708929325016-0.07506806265738987i
434,0,5,-0.24207836642405375-0.04206829719714651i
435,0,5,-0.4891564038551165+0.0025704048176843387i
436,0,5,-0.4387679259056213+0.05227248939866913i
437,0,5,-0.4140688521882151+0.04121508400978201i
